id,proper,ra,dec,mag,con,dist,spect
88,,0.017941,-48.809876,5.71,Phe,181.8182,G8III
107,,0.022255,-50.337373,5.53,Phe,166.3894,M2III
122,,0.026616,-77.065724,4.78,Oct,66.5779,K2III
124,,0.026949,61.222801,5.58,Cas,943.3962,F0III
145,,0.030402,-3.027504,5.13,Psc,139.2758,B7III-IV
154,,0.032672,-6.014072,4.37,Psc,132.4503,M3III
171,,0.036139,27.082256,5.8,Peg,12.1699,G3V
183,,0.038867,-29.720414,5.04,Scl,154.0832,B4V
194,,0.041584,8.485463,5.7,Psc,36.9004,F0V
208,,0.043357,66.098966,5.87,Cas,100000.0,G8III
300,,0.06233,-17.335988,4.55,Cet,83.4725,B9IVn
330,,0.070462,62.287664,5.9,Cas,100000.0,A1III
343,,0.072165,-16.529036,5.78,Cet,90.6618,K0III
355,,0.075033,-10.509523,4.99,Cet,641.0256,K3Ibvar
377,,0.078131,-71.436891,5.59,Tuc,175.4386,B8III
379,,0.078304,67.166445,5.68,Cep,92.6784,K1III
418,,0.085039,61.31397,5.8,Cas,221.7295,B8MNp...
441,,0.088928,-5.707618,4.61,Psc,39.4945,K1III
475,,0.094989,13.396266,5.55,Peg,114.2857,G5III
517,,0.104356,58.436733,5.98,Cas,21.4777,G5V
521,,0.105277,-49.075191,5.7,Phe,25.7136,G1IV...
530,,0.10737,64.196168,5.57,Cas,265.9574,B9III
635,,0.129693,-22.50856,5.93,Cet,78.3699,A1V
654,,0.134303,-33.529326,5.67,Scl,94.9668,K1III
670,,0.138204,-8.824112,5.99,Cet,98.4252,G8III:
676,Alpheratz,0.139791,29.090432,2.07,And,29.7442,B9p
727,,0.150672,18.211963,5.57,Peg,87.4126,G9III
744,Caph,0.152887,59.14978,2.28,Cas,16.7842,F2III-IV
759,,0.155851,-27.987928,5.42,Scl,77.4593,F3V
763,,0.156836,-45.747426,3.88,Phe,44.2087,K0III
811,,0.167278,11.145813,5.54,Psc,93.633,B9V
812,,0.167293,-82.224047,5.29,Oct,78.064,K1/K2III
838,,0.171908,-5.248588,5.84,Psc,58.309,K1III
839,,0.172012,46.072272,5.01,And,377.3585,F2II
871,,0.178565,-12.579897,5.84,Cet,75.0188,K0III
908,,0.187739,-15.467977,4.89,Cet,18.7477,F5V
928,,0.192894,-27.799737,5.41,Scl,243.309,K2III
948,,0.195552,-35.133119,5.24,Scl,21.2766,F3/F5V
981,,0.202773,-17.938278,5.29,Cet,190.8397,K4III
1065,Algenib,0.220598,15.183596,2.83,Peg,120.048,B2IV
1072,,0.222099,-84.993978,5.78,Oct,298.5075,M0/M1III
1084,,0.22524,41.03537,5.71,And,34.904,F0IV
1094,,0.228401,-26.022345,5.94,Scl,396.8254,K5III
1156,,0.241008,-7.780532,5.13,Cet,178.5714,M3IIIvar
1166,,0.243378,20.206702,4.79,Peg,112.8668,M2III
1169,,0.244005,-18.932866,4.44,Cet,137.1742,M1III
1189,,0.248476,-9.569571,5.77,Cet,103.8422,B9V
1286,,0.269126,-31.446394,5.66,Scl,152.207,K2III
1351,,0.282513,61.533185,5.74,Cas,190.1141,G8III
1363,,0.284863,38.681636,4.61,And,94.697,A2V
1369,,0.285845,47.947405,5.86,Cas,343.6426,B7III
1470,,0.305463,36.785224,4.51,And,41.3223,A2V
1490,,0.310625,31.517227,5.88,And,166.6667,A0IV
1559,,0.323799,-8.823921,3.56,Cet,84.1751,K2III
1595,,0.334142,-64.874791,4.23,Tuc,8.5866,F9V
1626,,0.340111,30.935614,5.89,And,159.7444,B7V
1641,,0.343295,8.190271,5.38,Psc,125.0,K3III
1643,,0.344178,-69.624913,5.5,Tuc,97.561,B9V
1653,,0.345978,32.911186,5.79,And,191.9386,K5III
1682,,0.352017,37.968603,5.16,And,48.5437,F5III
1702,,0.357986,-77.426873,5.96,Hyi,174.8252,K3III
1704,,0.358665,-28.981469,5.18,Scl,101.3171,K0III
1724,,0.362853,-20.058024,5.61,Cet,270.2703,M5/M6Ib/II
1916,,0.404348,52.019914,5.58,Cas,306.7485,B5IV
1955,,0.413193,61.831057,5.38,Cas,215.0538,B9III
1977,,0.418445,53.046786,5.72,Cas,158.2278,B9IV
2000,,0.423391,1.939692,5.77,Psc,144.0922,G5III
2016,,0.427916,-77.254247,2.82,Hyi,7.4588,G2IV
2069,,0.436716,-43.679829,3.93,Phe,23.8095,A7V
